  1 G000.1169-00.5703 17 48 07.70 -29 07 55.5  38  44 <  0.074 <  0.150 <  0.086    0.255    8.730   28.300 < 22.000   126.5  92 -99
104 G023.8120+00.7307 18 32 04.43 -07 46 20.5  12  10 <  0.011 <  0.010 <  0.016 <  0.191    5.937 <  3.300 <  9.400   -99.9 -99 -99
105 G023.9034+00.0682 18 34 37.06 -07 59 48.8   6   5 <  0.026 <  0.030 <  0.075    0.153   13.532 < 44.000 < 10.000   -99.9 -99 -99
106 G023.9064-00.2380 18 35 43.28 -08 08 06.6   5   5 <  0.002 <  0.002 <  0.011 <  0.035    0.213 <  0.370 <  1.010   -99.9 -99 -99
107 G024.0594-00.7990 18 38 01.15 -08 15 25.2   5   6 <  0.035 <  0.027 <  0.031 <  0.001    2.037    1.200 <  0.830    14.1 167 -99
108 G024.0810+00.1233 18 34 45.03 -07 48 49.9  15  28 <  0.065 <  0.053 <  0.010 <  0.023   10.144 <  6.500 < 16.600   -99.9 -99 -99
109 G024.1355+00.1222 18 34 51.34 -07 45 57.6  11   9    0.181    0.264    0.715    1.573   51.371  101.000   51.000   421.8 105  77
110 G024.1368+00.4279 18 33 45.78 -07 37 26.3  34  16 <  0.054 <  0.059 <  0.247 <  0.764   29.300   35.800   41.900    45.7 123  46
111 G024.2512+00.7906 18 32 40.66 -07 21 18.6  53  81 <  0.200 <  0.132 <  0.139 <  0.205    7.165    9.300 <  5.700     7.0 120 -99
112 G024.2720+00.0767 18 35 16.35 -07 39 56.8   7   7 <  0.050 <  0.038 <  0.063 <  0.075    6.320    6.900 <  7.300    52.7 128 -99
113 G025.4379-00.3288 18 37 02.03 -07 42 17.7  11   8 <  0.012 <  0.011 <  0.012 <  0.025    0.791 <  0.310 <  0.100   -99.9 -99 -99
114 G024.5665+00.9295 18 32 46.05 -07 00 41.0  10   9    0.050 <  0.032 <  0.026 <  0.020    1.130 <  0.410 <  0.550   -99.9 -99 -99
115 G024.6990+00.1167 18 35 55.31 -07 16 05.7   6   7 <  0.080 <  0.067 <  0.091 <  0.133    6.038    3.600 <  1.300    49.2 166 -99
116 G024.9069+00.4487 18 35 07.15 -06 55 51.2  10  10 <  0.005 <  0.006 <  0.009 <  0.013    2.097    0.830 <  0.420     7.0 211 -99
117 G025.2496+00.3842 18 35 59.10 -06 39 22.7  11  10 <  0.245 <  0.153 <  0.098 <  0.027    5.733 <  0.300 <  2.100   -99.9 -99 -99
118 G025.3172-00.4350 18 39 02.50 -06 58 20.7  12  12 <  0.209 <  0.137 <  0.097 <  0.073    9.481    4.100 <  1.300    14.1 199 -99
119 G025.4439+00.2619 18 36 46.92 -06 32 23.9   8   8 <  0.017 <  0.012 <  0.009 <  0.009    1.592 <  2.400 <  4.500   -99.9 -99 -99
120 G025.4535-00.1837 18 38 23.63 -06 44 09.8   8   8 <  0.018 <  0.018 <  0.126 <  0.479    5.072 <  1.120 <  0.610   -99.9 -99 -99
121 G025.4711-00.1248 18 38 12.93 -06 41 36.2   9  10 <  0.004 <  0.017 <  0.032 <  0.035   14.080 <  5.100 <  1.180   -99.9 -99 -99
122 G025.7870+00.3100 18 37 14.67 -06 12 47.3   8   7 <  0.006 <  0.007 <  0.022 <  0.008    0.836 <  0.250 <  0.440   -99.9 -99 -99
123 G026.1437-00.0420 18 39 09.66 -06 03 27.8  29  15    1.149    1.275    1.919    3.889  137.630   88.120 < 37.000   193.3 165 -99
124 G026.5272+00.3808 18 38 21.46 -05 31 22.9  10  13    0.133    0.146    0.209    0.367   27.407    8.150 <  0.820    56.2 264 -99
125 G026.6098+00.3065 18 38 46.51 -05 29 01.4  20  25 <  0.037 <  0.014 <  0.015 <  0.162   11.587   10.600 <  0.650    14.1 137 -99
126 G026.6435-00.0209 18 40 06.79 -05 37 02.9   7  11 <  0.030 <  0.020 <  0.047 <  0.066    1.315    1.370 <  3.800    14.1 130 -99
127 G027.2536+00.2532 18 40 09.04 -04 56 09.4  16  11 <  0.232 <  0.131 <  0.080 <  0.040    1.122 <  2.500 <  3.100   -99.9 -99 -99
