T	24/70	160/350
134.0	8.18968934049143	20.551487731240456
135.0	8.361993770782398	20.584508348168466
136.0	8.535367804887295	20.617062487068083
137.0	8.709781362442586	20.649159861307066
138.0	8.885204598968205	20.68080991939663
139.0	9.061607917847175	20.712021853849926
140.0	9.238961981534912	20.74280460969229
141.0	9.41723772202351	20.773166892638415
142.0	9.596406350586232	20.803117176951776
143.0	9.776439366827201	20.832663713000002
144.0	9.95730856706079	20.861814534520004
145.0	10.138986052045183	20.890577465605286
146.0	10.32144423409394	20.918960127427844
147.0	10.504655843589166	20.946969944706044
148.0	10.688593934919483	20.974614151929458
149.0	10.873231891865386	21.001899799351193
150.0	11.058543432454343	21.02883375875762
151.0	11.244502613307306	21.055422729024897
152.0	11.43108383349801	21.081673241471453
153.0	11.618261837945779	21.10759166501492
154.0	11.806011720362076	21.133184211141653
155.0	11.99430892577065	21.158456938696858
156.0	12.183129252620397	21.18341575850249
157.0	12.37244885450972	21.20806643781017
158.0	12.56224424154052	21.232414604595938
159.0	12.752492281319507	21.256465751703082
160.0	12.943170199623863	21.28022524083947
161.0	13.134255580748073	21.303698306435
162.0	13.325726367547666	21.326890059364988
163.0	13.51756086119581	21.349805490544732
164.0	13.709737720667528	21.372449474400444
165.0	13.902235961966223	21.394826772221307
166.0	14.095034957106588	21.416942035397533
167.0	14.28811443286735	21.4387998085487
168.0	14.481454469327089	21.460404532546697
169.0	14.675035498195635	21.481760547437478
170.0	14.868838300953247	21.502872095265257
171.0	15.062844006809222	21.52374332280321
172.0	15.257034090491352	21.54437828419396
173.0	15.451390369876785	21.564780943503486
174.0	15.645895003474953	21.584955177191524
175.0	15.840530487772389	21.604904776501883
176.0	16.035279654449074	21.624633449775295
177.0	16.23012566747554	21.644144824688066
178.0	16.425052020099496	21.66344245041895
179.0	16.620042531730373	21.682529799747133
180.0	16.815081344730025	21.701410271083716
181.0	17.010152921117157	21.720087190439145
182.0	17.20524203919294	21.738563813328984
183.0	17.400333790094894	21.756843326620114
