Wav, micron	sigma, cm^2/H	kappa, cm^2/g	albedo	g
22488544.897442866	1.0001131100000002e-35	4.599472983740154e-12	1.329812175234859e-16	2.215096433345808e-05
22413710.899502523	1.00685655e-35	4.630485745984088e-12	1.338633849147627e-16	2.210716079438395e-05
22339132.52641382	1.0136455800000002e-35	4.661708174486002e-12	1.3475138019789914e-16	2.2107162077221937e-05
22264804.202774752	1.0204802800000003e-35	4.693140637162118e-12	1.3564529357460972e-16	2.2107162354323026e-05
22190715.083627608	1.0273611500000003e-35	4.7247854334888335e-12	1.3654511368655506e-16	2.2106977485802558e-05
22116881.413016517	1.0342883000000001e-35	4.7566430693509566e-12	1.3745091614784774e-16	2.2106977458021022e-05
22043287.02148302	1.0412621900000003e-35	4.788715660266774e-12	1.3836273850383442e-16	2.2063174907059294e-05
21969937.32063606	1.0482832300000002e-35	4.821005091806931e-12	1.3928059092741566e-16	2.206317458939572e-05
21896837.563640688	1.0553515900000002e-35	4.853512145793404e-12	1.4020450371927707e-16	2.2063175353305212e-05
21823977.18054316	1.0624675500000001e-35	4.8862381099329755e-12	1.411345931041376e-16	2.205203494990472e-05
21751361.42772884	1.06963141e-35	4.919184363911484e-12	1.4207083542890726e-16	2.2052035715833806e-05
21678985.1002142	1.0768436300000001e-35	4.952353023247217e-12	1.4301329737150415e-16	2.2008230793721296e-05
21606848.233687542	1.0841045500000002e-35	4.985745651584125e-12	1.439619984198941e-16	2.2007511903118738e-05
21534950.847419206	1.0914144000000003e-35	5.019363306681351e-12	1.4491699131301544e-16	2.2007511103911087e-05
21463297.995770413	1.0987736000000002e-35	5.053207920099067e-12	1.4587832526727978e-16	2.2007510898565842e-05
21391879.529941596	1.1061822300000003e-35	5.0872798597535e-12	1.4684604658221633e-16	2.2007511464545522e-05
21320700.506577037	1.1136410200000002e-35	5.121582482880189e-12	1.478201744114095e-16	2.1963706774759764e-05
21249755.93070902	1.1211500200000003e-35	5.1561160194267755e-12	1.4880075703945488e-16	2.1963707487599145e-05
21179050.760518346	1.1287095900000003e-35	5.190882125016265e-12	1.4978787737570296e-16	2.196370581263177e-05
21108580.036004946	1.1363203400000002e-35	5.225883605009863e-12	1.507814947875526e-16	2.1952566492944543e-05
21038338.912414767	1.1439821000000001e-35	5.2611196775855945e-12	1.5178175728003087e-16	2.1952567119953567e-05
20968337.12119906	1.1516957600000003e-35	5.296594435811449e-12	1.5278861828526653e-16	2.1908764745575775e-05
20898564.965205725	1.1594614499999999e-35	5.332308477551287e-12	1.5380215200962484e-16	2.190593142220752e-05
20829027.25930426	1.1672793300000004e-35	5.368262538637563e-12	1.548224361297479e-16	2.190593045989749e-05
20759719.224797484	1.17515003e-35	5.4044595164105286e-12	1.5584948729337988e-16	2.1905930283404392e-05
